Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
NeoScrypt,2,7847417.33355824,21000000.0
NeoScrypt,2,3982139.24553469,32000000.0
Quark,2,27299680.0,120000000.0
NeoScrypt,2,299797953.0,500000000.0
Scrypt,2,45483049.3398182,64000000.0
Scrypt,0,591022748.0,900000000.0
Scrypt,0,2504486.227718,4000000.0
X11,2,4407252.0,21000000.0
Scrypt,2,25000000000.0,25000000000.0
X11,2,8478104.33969947,23000000.0
SHA-256,2,20166000.0,20166000.0
C11,2,11916588.09471,23000000.0
POS 3.0,2,20445861.534425102,25000000.0
Ethash,2,1618033.0,1618033.0
Scrypt,2,17630550.2128923,24000000.0
Scrypt,2,9399342.52839847,30000000.0
CryptoNight,2,53139835213.77,1000000000000.0
SkunkHash,2,4818338.98949984,16600000.0
Scrypt,0,234846265.78215697,232000000.0
CryptoNight,2,133932467.77410801,336000000.0
X11,2,3680297312.25584,3980000000.0
Scrypt,2,10000000000.0,10000000000.0
SHA-256,0,3427006.0,25000000.0
Dagger,2,107325266.02778299,100000000.0
Lyra2REv2,2,643795911.540095,1100000000.0
X13,2,230298925.0,800000000.0
Proof-of-BibleHash,2,1772091549.88818,5200000000.0
SHA-256 + Hive,2,638382332.208514,840000000.0
Scrypt,2,12446100.00278,40000000.0
Scrypt,2,14491014421.0,18406979840.0
Skein,0,11661844.4720073,72000000.0
X11,0,3521630.0,25000000.0
Skein,0,2985970.9999482003,69000000.0
X11,2,211297638.500483,500000000.0
C11,0,11251342.1879021,19340594.0
Proof-of-Authority,2,204479039.0,252460800.0
X11,0,2167827.1,25000000.0
XEVAN,0,419275.38,60000000.0
Scrypt,2,25570013.1348022,124000000.0
VBFT,2,650848625.0,1000000000.0
Ethash,2,247612453.0,6500000000.0
CryptoNight,2,80049082.9057215,1000000000.0
Scrypt,2,4070212.1493015997,21000000.0
SHA-256,2,2360478328.70966,10044655075.562437
IMesh,2,25000000.0,25000000.0
PHI1612,0,1360250.0,32000000.0
Quark,2,8928876.68577239,11892000.0
NIST5,0,13787854.6277781,50000000.0
Scrypt,0,845637.81347436,3000000.0
Scrypt,0,1182153.5,5000000.0
Equihash,2,71355477.0,70000000.0
Scrypt,2,267297676.3125,500000000.0
Lyra2Z,2,27340501.6514783,300000000.0
Green Protocol,2,9803691.3618195,21000000.0
PoS,2,21876586.8530324,88000000.0
Scrypt,0,9880502.37178894,30000000.0
NeoScrypt,2,4478901.29233779,21000000.0
Semux BFT consensus,2,1231147.0,100000000.0
X11,2,31801461.1867843,100000000.0
Quark,0,139739596.506702,200000000.0
PoS,2,11075254.0929996,80000000.0
CryptoNight,2,16016864.0,18400000.0
X16R,2,4403800.0,45000000.0
Scrypt,0,1404157529.46026,5121951220.0
NIST5,2,21069346.252259802,21000000.0
Lyra2RE,2,5097689.71077377,26280000.0
XEVAN,2,10904963.0923455,21000000.0
Tribus,2,795447.0,18000000.0
Scrypt,2,38706809.466534995,26000000.0
Lyra2Z,2,6986399.70430446,10500000.0
Scrypt,2,3783270.0,30000000.0
Scrypt,0,8094818.38874615,110000000.0
CryptoNight,2,84300.0,600000518.0
X11,2,11359634.6460345,8148139.0
SHA-256D,0,658584.46163633,7500000.0
CryptoNight Heavy,2,19153632.0,150000000.0
CryptoNight,2,41294520017.0,184000000000.0
Scrypt,0,25330252.323000003,100000000.0
Scrypt,0,10200000000.0,10200000000.0
X11,2,7256580.0,62000000.0
Scrypt,2,7630000.0154,44000000.0
Jump Consistent Hash,2,135862416.039898,168000000.0
SHA-256D,0,33238183.7225834,100000000.0
CryptoNight,2,560085952.404637,1000000000.0
Scrypt,0,21599339.6728,84000000.0
X15,2,30284196.369129,90000000.0
Scrypt,2,77872059787.8998,92000000000.0
Quark,2,2716264.95302831,650000000.0
